Customer_ID,First_Name,Last_Name,Gender,Email,Phone,DOB,City,State,Country,Membership,Loyalty_Points,Segment,Income,Status
CUST000001,Ekiya,Dora,Female,ebava@example.net,5908301661,15-01-1978,Rajahmundry,Rajasthan,India,Prime,25875,Bronze,503819,Active
CUST000002,David,Ranganathan,Other,kantchakradhar@example.net,4628194821,12-04-1975,Phusro,Arunachal Pradesh,India,Prime,23965,Bronze,2328339,Active
CUST000003,Samesh,Taneja,Male,dmurthy@example.net,5432319487,25-10-1987,Kochi,Mizoram,India,Prime,5632,Platinum,1953941,Active
CUST000004,Omya,Gala,Male,max76@example.org,8955597971,26-06-1992,Ghaziabad,Telangana,India,Prime,5944,Platinum,447927,Active
CUST000005,Dayita,Sehgal,Other,libni50@example.com,2917034236,10-05-1964,Jamalpur,Himachal Pradesh,India,Prime,14630,Bronze,2620545,Active
CUST000006,Laksh,Sani,Other,ojasvi56@example.org,1223307924,29-09-1977,Phagwara,Odisha,India,Standard,3249,Silver,395381,Active
CUST000007,Eiravati,Dass,Other,shanmanya@example.com,6176031372,29-04-1958,Tezpur,Chhattisgarh,India,Prime,18979,Platinum,805049,Active
CUST000008,Harrison,Patla,Other,bobalsarthak@example.net,2459571177,03-02-1960,Tiruvottiyur,Telangana,India,Prime,37415,Gold,2549889,Active
CUST000009,Alka,Srinivas,Other,zaitrabajaj@example.org,2808414852,30-03-1984,Rajahmundry,Punjab,India,Prime,6753,Silver,1761948,Active
CUST000010,Robert,Khatri,Male,mkaran@example.net,5004743957,23-03-1967,Nandyal,Gujarat,India,Business,46668,Bronze,2567132,Active
CUST000011,Geetika,Jayaraman,Male,eagarwal@example.net,1163726516,15-12-1993,Warangal,Andhra Pradesh,India,Business,13497,Platinum,2430196,Active
CUST000012,Matthew,Shroff,Female,urvipalla@example.org,18263304,15-04-1968,Rampur,Nagaland,India,Standard,30513,Platinum,1716586,Active
CUST000013,Oni,Deep,Female,pandyatara@example.net,8282880729,16-01-1963,Miryalaguda,Arunachal Pradesh,India,Prime,11781,Silver,543324,Active
CUST000014,Eshana,Vasa,Other,jcherian@example.org,3401878017,01-09-1987,Bally,Manipur,India,Standard,34419,Platinum,1640641,Active
CUST000015,Yashoda,Walla,Other,ptripathi@example.net,8372616751,24-10-1966,Bhilai,Tripura,India,Standard,18870,Bronze,695203,Active
CUST000016,Mohammed,Pau,Other,zehaandevan@example.com,1672326865,03-06-1972,Surat,Karnataka,India,Standard,10810,Gold,837469,Active
CUST000017,Tara,Sastry,Female,rajagopalangarima@example.net,8113114402,27-07-2000,Machilipatnam,Chhattisgarh,India,Standard,2569,Bronze,2540739,Active
CUST000018,Yutika,Talwar,Other,gaurav40@example.net,6140141931,25-02-1956,Agartala,Punjab,India,Standard,22290,Gold,2692967,Active
CUST000019,Kai,Bassi,Female,imaranedwin@example.com,2344834782,01-04-2008,Kanpur,Andhra Pradesh,India,Business,29897,Bronze,592570,Active
CUST000020,Yashasvi,Gupta,Female,ckorpal@example.org,7868433532,26-11-1999,Madurai,Rajasthan,India,Standard,45681,Bronze,454466,Active
CUST000021,Aadhya,Sankar,Other,christopherchad@example.net,8493407224,03-11-1974,Motihari,Karnataka,India,Business,20290,Platinum,1393680,Active
CUST000022,Yash,Banerjee,Other,tejas52@example.org,6174833801,18-09-1976,Singrauli,Andhra Pradesh,India,Standard,43820,Gold,294635,Active
CUST000023,Chandani,Modi,Female,fradowadhwa@example.org,5724920868,02-09-1985,Bhimavaram,Uttar Pradesh,India,Standard,11013,Bronze,2270698,Active
CUST000024,Victor,Chada,Male,barmankiaan@example.net,1678008374,14-03-1995,Hajipur,Assam,India,Prime,18837,Silver,1238571,Active
